record_id,td_sim_0,record_atd
36,40.0,40.0
1276,149.0,149.0
1780,15.0,15.0
2039,83.0,83.0
2304,102.0,102.0
2751,86.0,86.0
2925,27.0,27.0
3141,72.0,72.0
4614,30.0,30.0
average_simulation_TD,67.11111111111111,
