record_id,td_sim_0,record_atd
6,21.0,21.0
30,24.0,24.0
42,6.0,6.0
48,29.0,29.0
65,194.0,194.0
81,2.0,2.0
89,46.0,46.0
98,4.0,4.0
127,20.0,20.0
147,27.0,27.0
179,11.0,11.0
235,1.0,1.0
236,7.0,7.0
247,61.0,61.0
average_simulation_TD,32.357142857142854,
