,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,loss,erf_0.1,atd,tp_0.1,tp_0.25,tp_0.5,tp_0.75,tp_0.9,fp_0.1,fp_0.25,fp_0.5,fp_0.75,fp_0.9,tn_0.1,tn_0.25,tn_0.5,tn_0.75,tn_0.9,fn_0.1,fn_0.25,fn_0.5,fn_0.75,fn_0.9,tnr_0.1,tnr_0.25,tnr_0.5,tnr_0.75,tnr_0.9
42,metrics_sim_van_de_Schoot_2018_abstract.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8903566710700133,0.021087680355160933,0.8648648648648649,114.0,3,9,18,27,33,38,63,77,87,104,4467,4442,4428,4418,4401,34,28,19,10,4,0.991565,0.986016,0.982908,0.980688,0.976915
43,metrics_sim_van_de_Schoot_2018_abstract_keywords.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8914575077058564,0.016840147583765785,0.8648648648648649,94.86486486486487,3,9,18,27,33,24,33,49,77,110,4481,4472,4456,4428,4395,34,28,19,10,4,0.994673,0.992675,0.989123,0.982908,0.975583
44,metrics_sim_van_Dis_2020_abstract.json,0.7887323943661971,0.9295774647887324,0.971830985915493,1.0,1.0,0.6695156695156695,0.07481354165856542,0.6901408450704225,713.4366197183099,7,17,35,53,63,60,114,231,814,1638,8995,8941,8824,8241,7417,64,54,36,18,8,0.993374,0.98741,0.974489,0.910105,0.819105
45,metrics_sim_van_Dis_2020_abstract_keywords.json,0.7464788732394366,0.9436619718309859,0.9577464788732394,1.0,1.0,0.6965811965811965,0.07866792138807445,0.647887323943662,748.3380281690141,7,17,35,53,63,43,213,259,711,1538,9012,8842,8796,8344,7517,64,54,36,18,8,0.995251,0.976477,0.971397,0.92148,0.830149
46,metrics_sim_Walker_2018_abstract.json,0.7306176084099869,0.9106438896189225,0.9802890932982917,1.0,1.0,0.5935749281624046,0.0792828153284163,0.6307490144546649,4155.813403416557,76,190,380,570,684,104,271,1392,4831,10177,47508,47341,46220,42781,37435,685,571,381,191,77,0.997816,0.994308,0.970764,0.898534,0.786251
47,metrics_sim_Walker_2018_abstract_keywords.json,0.7319316688567674,0.911957950065703,0.9816031537450722,1.0,1.0,0.607735720339859,0.07784519257338916,0.6320630749014454,4087.365308804205,76,190,380,570,684,78,287,1420,4745,10384,47534,47325,46192,42867,37228,685,571,381,191,77,0.998362,0.993972,0.970176,0.90034,0.781904
48,metrics_sim_Wassenaar_2017_abstract.json,0.8909090909090909,0.990909090909091,1.0,1.0,1.0,0.7918079833028959,0.03070768564415997,0.7909090909090909,287.5272727272727,11,27,55,82,99,7,28,52,183,689,7549,7528,7504,7373,6867,99,83,55,28,11,0.999074,0.996294,0.993118,0.975781,0.908814
49,metrics_sim_Wassenaar_2017_abstract_keywords.json,0.9,0.990909090909091,1.0,1.0,1.0,0.8116357944169058,0.027260695894893883,0.8,261.4818181818182,11,27,55,82,99,5,18,51,157,601,7551,7538,7505,7399,6955,99,83,55,28,11,0.999338,0.997618,0.99325,0.979222,0.920461
50,metrics_sim_Wolters_2018_abstract.json,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,0.8165030388031791,0.036854460093896715,0.7777777777777778,166.5,1,4,9,13,16,1,41,58,130,334,4259,4219,4202,4130,3926,17,14,9,5,2,0.999765,0.990376,0.986385,0.969484,0.921596
51,metrics_sim_Wolters_2018_abstract_keywords.json,0.8333333333333334,1.0,1.0,1.0,1.0,0.7753623188405797,0.03219874804381847,0.7222222222222222,146.66666666666666,1,4,9,13,16,1,31,52,82,428,4259,4229,4208,4178,3832,17,14,9,5,2,0.999765,0.992723,0.987793,0.980751,0.899531
